"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","Sample..","date","finalcon.cp.L","QualityCheck"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","","Average",20473.93,73.19,516,NA,NA,"   NA","Pass"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw1","A1",20464,0,0,"LCMB 4",2022-06-27,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw1","B1",20473,0,0,"LCMB 4",2022-06-27,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw2","C1",20475,0,0,"G-PC 4",2022-07-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw2","D1",20457,0,0,"G-PC 4",2022-07-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw3","A2",20476,0,0,"LCMB 4",2022-07-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw3","B2",20480,0,0,"LCMB 4",2022-07-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw4","C2",20480,0,0,"G-PC 2",2022-08-30,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw4","D2",20476,0,0,"G-PC 2",2022-08-30,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw5","A3",20480,0,0,"G-PC 4",2022-08-30,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw5","B3",20474,0,0,"G-PC 4",2022-08-30,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw6","C3",20474,0,0,"G-PC 2",2022-09-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw6","D3",20473,0,0,"G-PC 2",2022-09-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw7","A4",20473,0,0,"G-PC 4",2022-09-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw7","B4",20478,0,0,"G-PC 4",2022-09-26,"0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","POS","C4",20476,1097.85,7733,NA,NA,"   NA","Pass"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","NTC","D4",NA,NA,NA,NA,NA,"   NA",NA
